id,S,L,pred,herb,mutu,para
4427,22,22,0,0,0,22
4428,20,18,0,0,0,18
4429,5,4,0,0,0,4
4430,19,19,0,0,0,19
4431,9,8,0,0,0,8
4432,12,9,0,0,0,9
4433,13,14,0,0,0,14
4434,8,7,0,0,0,7
4435,8,8,0,0,0,8
4436,5,4,0,0,0,4
4437,17,25,0,0,0,25
4438,3,2,0,0,0,2
4439,10,7,0,0,0,7
4440,3,2,0,0,0,2
4441,2,1,0,0,0,1
4442,2,1,0,0,0,1
4443,2,1,0,0,0,1
4444,2,1,0,0,0,1
4445,8,6,0,0,0,6
4446,5,4,0,0,0,4
4447,12,11,0,0,0,11
4448,8,7,0,0,0,7
4449,6,5,0,0,0,5
4450,10,9,0,0,0,9
4451,19,32,0,0,0,32
922,35,96,66,8,0,0
4453,9,8,0,0,0,8
4454,22,21,0,0,0,21
4455,3,2,0,0,0,2
4456,13,12,0,0,0,12
4457,14,17,0,0,0,17
4458,5,4,0,0,0,4
4459,17,29,0,0,0,29
4460,4,3,0,0,0,3
4461,9,6,0,0,0,6
4462,10,9,0,0,0,9
4463,13,16,0,0,0,16
4464,13,10,0,0,0,10
4465,3,2,0,0,0,2
4466,5,3,0,0,0,3
4467,2,1,0,0,0,1
4468,3,2,0,0,0,2
4469,2,1,0,0,0,1
4470,7,5,0,0,0,5
4471,7,6,0,0,0,6
4472,6,5,0,0,0,5
4473,7,6,0,0,0,6
4474,9,7,0,0,0,7
4475,10,9,0,0,0,9
4476,8,6,0,0,0,6
4477,7,6,0,0,0,6
4478,3,2,0,0,0,2
4479,3,2,0,0,0,2
4480,13,9,0,0,0,9
4481,7,5,0,0,0,5
4482,6,5,0,0,0,5
4483,4,3,0,0,0,3
4484,3,2,0,0,0,2
4485,6,5,0,0,0,5
4486,8,7,0,0,0,7
4487,5,4,0,0,0,4
4488,4,3,0,0,0,3
4489,2,1,0,0,0,1
4490,7,4,0,0,0,4
4491,4,4,0,0,0,4
4492,7,6,0,0,0,6
4493,5,4,0,0,0,4
4494,8,8,0,0,0,8
4495,6,5,0,0,0,5
4496,13,13,0,0,0,13
4497,3,2,0,0,0,2
4498,13,15,0,0,0,15
4499,6,5,0,0,0,5
4500,5,6,0,0,0,6
4501,4,3,0,0,0,3
4502,5,4,0,0,0,4
4503,5,4,0,0,0,4
4504,10,8,0,0,0,8
4505,10,5,0,0,0,5
4506,7,6,0,0,0,6
4507,51,62,0,0,0,62
4508,19,22,0,0,0,22
4509,2,1,0,0,0,1
4510,6,5,0,0,0,5
4511,10,9,0,0,0,9
4512,10,10,0,0,0,10
4513,5,4,0,0,0,4
4514,3,2,0,0,0,2
4515,8,7,0,0,0,7
4516,6,0,0,0,0,0
4517,3,2,0,0,0,2
4518,5,3,0,0,0,3
