id,S,L,pred,herb,mutu,para,foodweb,other
1483,27,42,21,17,0,0,38,4
1485,14,23,13,0,0,0,13,10
1486,26,45,27,6,0,0,33,12
1487,27,41,22,7,0,0,29,12
1488,66,234,188,27,0,0,215,19
1493,9,13,9,4,0,0,13,0
1494,47,61,27,26,0,3,53,5
1495,89,114,33,75,0,0,108,6
1496,90,149,80,60,0,5,140,4
1497,36,47,11,34,0,0,45,2
1498,79,1010,967,0,0,0,967,43
1501,7,8,0,6,0,0,6,2
1500,9,8,0,6,0,0,6,2
1504,12,25,12,12,0,0,24,1
1505,11,20,13,0,0,0,13,7
1506,34,79,53,25,0,0,78,1
1507,26,61,36,0,0,0,36,25
1508,33,121,88,0,0,6,88,27
1510,23,26,11,12,0,3,23,0
1511,17,32,30,2,0,0,32,0
1512,14,49,26,14,0,0,40,9
1513,20,41,35,0,0,0,35,6
1514,43,114,68,36,0,0,104,10
1515,11,30,16,5,0,0,21,9
1516,22,48,32,6,0,0,38,10
1517,32,140,20,105,0,0,125,15
1518,20,80,46,34,0,0,80,0
1519,10,29,19,5,0,0,24,5
1520,22,48,23,25,0,0,48,0
1521,23,40,21,0,0,0,21,19
1522,31,80,52,18,0,0,70,10
1523,24,113,85,7,0,0,92,21
1524,25,131,53,66,0,0,119,12
1525,26,67,45,11,0,0,56,11
1526,45,193,33,146,0,0,179,14
1527,38,157,17,126,0,0,143,14
1528,42,183,38,134,0,0,172,11
1529,37,150,19,119,0,0,138,12
1530,106,310,167,75,0,0,242,68
1531,16,57,25,26,0,0,51,6
1532,35,53,24,21,0,0,45,8
1533,24,104,62,28,0,0,90,14
1537,35,380,362,0,0,0,362,18
1472,29,105,41,50,0,0,91,14
1569,68,169,36,100,0,0,136,33
1548,21,40,22,0,0,0,22,18
1551,37,74,13,14,0,25,27,22
1552,13,22,7,4,0,7,11,4
1553,9,17,5,3,0,5,8,4
1554,12,19,4,4,0,5,8,6
1555,9,21,7,2,0,7,9,5
1556,12,19,5,3,0,8,8,3
1557,12,29,10,3,0,10,13,6
1558,19,32,8,7,0,7,15,10
1559,24,42,10,7,0,10,17,15
1561,25,64,45,0,0,0,45,19
1562,14,30,18,0,0,0,18,12
1563,39,248,174,23,0,0,197,51
1564,39,229,156,23,0,0,179,50
1565,40,241,170,11,0,0,181,60
1566,23,48,39,5,0,4,44,0
1567,26,70,27,33,0,0,60,10
1570,57,142,25,90,0,0,115,27
1572,69,188,9,149,0,0,158,30
1573,67,158,33,97,0,0,130,28
1576,39,103,21,65,0,0,86,17
1546,27,72,52,0,0,0,52,20
1578,55,129,10,100,0,0,110,19
1579,59,151,27,100,0,0,127,24
1581,45,192,16,92,0,0,108,84
1582,39,146,28,49,0,0,77,69
1587,31,100,0,50,0,0,50,50
1589,20,54,0,30,0,0,30,24
1590,36,138,47,70,0,0,117,21
1591,7,8,4,4,0,0,8,0
1592,15,27,15,9,0,3,24,0
1593,26,30,13,12,0,0,25,5
1594,27,116,99,9,0,0,108,8
1595,27,114,97,9,0,0,106,8
1596,24,108,58,50,0,0,108,0
1678,24,72,0,72,0,0,72,0
5013,714,51496,42144,6075,0,0,48219,3277
2470,78,1277,1210,36,0,0,1246,31
